records written : 40
lost to wrap    : 0
shown           : 40

    0  ENTR = 00000000
    1  FADP = 00000000
    2  FOUN = 00000000
    3  BRUP = 00000038
    4  SRBF = 00000000
    5  CDB0 = 00000012
    6  DONE = 00000001
    7  SRBF = 00000000
    8  CDB0 = 00000012
    9  DONE = 0000000A
   10  SRBF = 00000000
   11  CDB0 = 00000012
   12  DONE = 0000000A
   13  SRBF = 00000000
   14  CDB0 = 00000000
   15  DONE = 00000001
   16  SRBF = 00000000
   17  CDB0 = 0000001E
   18  DONE = 00000001
   19  SRBF = 00000000
   20  CDB0 = 0000001E
   21  DONE = 00000001
   22  SRBF = 00000000
   23  CDB0 = 00000000
   24  DONE = 00000001
   25  SRBF = 00000000
   26  CDB0 = 00000025
   27  DONE = 00000004
   28  SRBF = 00000000
   29  CDB0 = 00000025
   30  DONE = 00000004
   31  SRBF = 00000000
   32  CDB0 = 00000025
   33  DONE = 00000001
   34  SRBF = 00000000
   35  CDB0 = 00000028
   36  DONE = 00000001
   37  SRBF = 00000000
   38  CDB0 = 00000028
   39  DONE = 00000001

INQUIRY was issued - read the DONE that follows it.
