utc	md5	bytes	commit	tree	flags
2026-09-05T12:31:34Z	ef93ac10	10752	614f3d6	DIRTY	-DXT_NO_WRITETEST
2026-09-05T12:32:23Z	3d026d70	10752	614f3d6	DIRTY	-DXT_NO_WRITETEST
2026-09-05T12:33:46Z	2bcf0e7b	10752	6f15d36	clean	-DXT_NO_WRITETEST
2026-09-05T12:38:15Z	2c10d740	10752	6f15d36	DIRTY	-DXT_NO_WRITETEST
2026-09-05T12:38:50Z	9b09f9d6	10752	9410986	clean	-DXT_NO_WRITETEST
2026-09-05T12:58:39Z	d916a551	10752	bcaf946	DIRTY	-DXT_NO_WRITETEST -DXT_FORCE_BASE=0300h
2026-09-05T15:27:55Z	00149e06	10752	06ea59a	DIRTY	-DXT_NO_WRITETEST -DXT_FORCE_BASE=0300h
2026-09-05T15:31:37Z	1bf4378e	602cf51f	10752	c2c7c36	DIRTY	-DXT_NO_WRITETEST -DXT_FORCE_BASE=0300h
2026-09-05T15:43:01Z	62553cd0	ca8049a8	10752	f8005c6	clean	-DXT_NO_WRITETEST
2026-09-05T17:04:38Z	95ef668d	1f6d0323	10752	6869455	clean	-DXT_NO_WRITETEST
2026-09-05T19:07:04Z	d2431faf	561fb45b	10752	6869455	DIRTY	-DXT_NO_WRITETEST
2026-09-07T11:01:41Z	d2431faf	9e5778dd	10752	89d015c	clean	-DXT_NO_WRITETEST
2026-09-10T11:19:59Z	58f1b1c4	45bce4d7	10752	cce0ace	DIRTY	-DXT_NO_WRITETEST
2026-09-10T11:20:09Z	bfbabb04	11d9c3fa	10752	cce0ace	DIRTY	-DXT_NO_WRITETEST -DXT_POLL_BACKOFF -DXT_FAST_XFER
2026-09-10T11:20:58Z	58f1b1c4	b066ac07	10752	da7c129	clean	-DXT_NO_WRITETEST
2026-09-10T11:20:58Z	bfbabb04	f87f977c	10752	da7c129	DIRTY	-DXT_NO_WRITETEST -DXT_POLL_BACKOFF -DXT_FAST_XFER
2026-09-10T11:36:18Z	305c6cc5	37dd5b1d	10752	f7a094a	DIRTY	-DXT_NO_WRITETEST -DXT_POLL_BACKOFF -DXT_FAST_XFER
